day,dest cou,Seats,Population Density,Countries
2021-11-01,AE,1514.9022988505749,69.13588516746411,United Arab Emirates (the)
2021-11-01,BE,106.03352490421456,370.9372707023061,Belgium
2021-11-01,BH,680.1676245210729,1771.8592105263158,Bahrain
2021-11-01,CH,75.0,196.76405746541656,Switzerland
2021-11-01,DE,335.0,226.4689795026637,Germany
2021-11-01,FR,106.03352490421456,103.37630106197412,France
2021-11-01,GB,106.03352490421456,263.0771396904889,United Kingdom of Great Britain and Northern Ireland (the)
2021-11-01,HK,212.06704980842912,6445.041516245487,Hong Kong
2021-11-01,IN,318.10057471264366,380.7713541630226,India
2021-11-01,LB,106.03352490421456,594.6827884615385,Lebanon
2021-11-01,MT,106.03352490421456,1310.01582278481,Malta
2021-11-01,NL,252.53352490421457,407.9605228317647,Netherlands (the)
2021-11-01,PH,167.5,336.6612533333333,Philippines (the)
2021-11-01,QA,318.10057471264366,189.43699292249264,Qatar
2021-11-01,SA,1135.234674329502,12.909915383148268,Saudi Arabia
2021-11-01,UA,212.06704980842912,73.61357136939773,Ukraine
2021-11-02,AE,75.0,69.13588516746411,United Arab Emirates (the)
2021-11-02,BE,106.03352490421456,370.9372707023061,Belgium
2021-11-02,CA,106.03352490421456,3.515372666297434,Canada
2021-11-02,DE,335.0,226.4689795026637,Germany
2021-11-02,GB,106.03352490421456,263.0771396904889,United Kingdom of Great Britain and Northern Ireland (the)
2021-11-02,IT,58.0,205.2668746266676,Italy
2021-11-02,SA,474.1005747126437,12.909915383148268,Saudi Arabia
2021-11-03,AE,379.5670498084292,69.13588516746411,United Arab Emirates (the)
2021-11-03,BH,424.13409961685824,1771.8592105263158,Bahrain
2021-11-03,DE,273.5335249042146,226.4689795026637,Germany
2021-11-03,GB,212.06704980842912,263.0771396904889,United Kingdom of Great Britain and Northern Ireland (the)
2021-11-03,HK,106.03352490421456,6445.041516245487,Hong Kong
2021-11-03,IN,318.10057471264366,380.7713541630226,India
2021-11-03,PH,106.03352490421456,336.6612533333333,Philippines (the)
2021-11-03,SA,668.0670498084291,12.909915383148268,Saudi Arabia
2021-11-03,SG,106.03352490421456,8141.279770444763,Singapore
2021-11-04,AE,262.0335249042146,69.13588516746411,United Arab Emirates (the)
2021-11-04,BH,106.03352490421456,1771.8592105263158,Bahrain
2021-11-04,DE,248.5,226.4689795026637,Germany
2021-11-04,EG,106.03352490421456,88.3592750511758,Egypt
2021-11-04,IN,106.03352490421456,380.7713541630226,India
2021-11-04,SA,566.0670498084291,12.909915383148268,Saudi Arabia
2021-11-05,BE,106.03352490421456,370.9372707023061,Belgium
2021-11-05,BH,212.06704980842912,1771.8592105263158,Bahrain
2021-11-05,EG,348.5335249042146,88.3592750511758,Egypt
2021-11-05,GR,58.0,81.66026053941815,Greece
2021-11-05,IN,106.03352490421456,380.7713541630226,India
2021-11-05,SA,393.0,12.909915383148268,Saudi Arabia
2021-11-06,AE,645.6340996168583,69.13588516746411,United Arab Emirates (the)
2021-11-06,BH,499.13409961685824,1771.8592105263156,Bahrain
2021-11-06,DE,106.03352490421456,226.4689795026637,Germany
2021-11-06,FR,63.0,103.37630106197412,France
2021-11-06,GB,106.03352490421456,263.0771396904889,United Kingdom of Great Britain and Northern Ireland (the)
2021-11-06,IT,106.03352490421456,205.2668746266676,Italy
2021-11-06,KR,106.03352490421456,492.531046931408,Korea (the Republic of)
2021-11-06,QA,106.03352490421456,189.43699292249264,Qatar
2021-11-06,SA,187.03352490421457,12.909915383148268,Saudi Arabia
2021-11-06,TR,106.03352490421456,101.35033220089797,Turkey
2021-11-06,US,106.03352490421456,32.70372369087204,United States of America (the)
2021-11-07,DE,167.5,226.4689795026637,Germany
2021-11-07,FR,106.03352490421456,103.37630106197412,France
2021-11-07,GB,106.03352490421456,263.0771396904889,United Kingdom of Great Britain and Northern Ireland (the)
2021-11-07,IN,335.0,380.7713541630226,India
2021-11-08,SA,156.0,12.909915383148268,Saudi Arabia
2021-11-09,AE,496.0670498084292,69.13588516746411,United Arab Emirates (the)
2021-11-09,BH,409.5670498084292,1771.8592105263158,Bahrain
2021-11-09,GR,106.03352490421456,81.66026053941815,Greece
2021-11-09,IN,106.03352490421456,380.7713541630226,India
2021-11-09,KR,106.03352490421456,492.531046931408,Korea (the Republic of)
2021-11-09,MA,106.03352490421456,74.6225484268279,Morocco
2021-11-09,QA,212.06704980842912,189.43699292249264,Qatar
2021-11-10,AE,287.06704980842915,69.13588516746411,United Arab Emirates (the)
2021-11-10,BH,499.13409961685824,1771.8592105263156,Bahrain
2021-11-10,CH,75.0,196.76405746541656,Switzerland
2021-11-10,DE,167.5,226.4689795026637,Germany
2021-11-10,FR,106.03352490421456,103.37630106197412,France
2021-11-10,GB,108.0,263.0771396904889,United Kingdom of Great Britain and Northern Ireland (the)
2021-11-10,HR,63.0,78.89253277732622,Croatia
2021-11-10,IN,541.5670498084291,380.7713541630226,India
2021-11-10,PH,106.03352490421456,336.6612533333333,Philippines (the)
