,index,cases,Country
0,2022-01-21,2702.6846977532987,United Arab Emirates (the)
1,2022-01-22,2700.6907664642367,United Arab Emirates (the)
2,2022-01-23,2645.539930820339,United Arab Emirates (the)
3,2022-01-24,2620.7917680451606,United Arab Emirates (the)
4,2022-01-25,2592.4877074554724,United Arab Emirates (the)
5,2022-01-26,2533.214428931045,United Arab Emirates (the)
6,2022-01-27,2610.208003280342,United Arab Emirates (the)
7,2022-01-28,2492.2244923854028,United Arab Emirates (the)
8,2022-01-29,2517.58123801285,United Arab Emirates (the)
9,2022-01-30,2480.236197532605,United Arab Emirates (the)
0,2022-01-21,3149.9202637469857,Bahrain
1,2022-01-22,3009.1203211546654,Bahrain
2,2022-01-23,3069.6192342828426,Bahrain
3,2022-01-24,2977.940605257918,Bahrain
4,2022-01-25,2981.9251394295175,Bahrain
5,2022-01-26,2791.7110089241637,Bahrain
6,2022-01-27,2868.619456879979,Bahrain
7,2022-01-28,2715.7123257749026,Bahrain
8,2022-01-29,2798.1960553723384,Bahrain
9,2022-01-30,2760.4640928964022,Bahrain
0,2022-01-21,14941.750895440658,Greece
1,2022-01-22,14356.970561830347,Greece
2,2022-01-23,14698.87955110459,Greece
3,2022-01-24,14111.125419836035,Greece
4,2022-01-25,14142.423768193632,Greece
5,2022-01-26,14238.284311783773,Greece
6,2022-01-27,14611.986569022625,Greece
7,2022-01-28,14494.707277851174,Greece
8,2022-01-29,14964.507063464622,Greece
9,2022-01-30,14831.987643767252,Greece
0,2022-01-21,306030.8578579554,India
1,2022-01-22,304235.5060324242,India
2,2022-01-23,298496.0406642284,India
3,2022-01-24,298787.08822741953,India
4,2022-01-25,296220.2775941204,India
5,2022-01-26,289758.81641073636,India
6,2022-01-27,297896.615390056,India
7,2022-01-28,286353.52817118535,India
8,2022-01-29,289024.5879055832,India
9,2022-01-30,286917.62131249346,India
0,2022-01-21,2635.6887556397605,Korea (the Republic of)
1,2022-01-22,4430.054213377234,Korea (the Republic of)
2,2022-01-23,4306.056324216387,Korea (the Republic of)
3,2022-01-24,9473.209320339964,Korea (the Republic of)
4,2022-01-25,7009.8663944003165,Korea (the Republic of)
5,2022-01-26,8429.750869608144,Korea (the Republic of)
6,2022-01-27,11877.482512182025,Korea (the Republic of)
7,2022-01-28,13502.525398618549,Korea (the Republic of)
8,2022-01-29,11824.04420884871,Korea (the Republic of)
9,2022-01-30,11516.479656165966,Korea (the Republic of)
0,2022-01-21,172.1639951132696,Morocco
1,2022-01-22,169.3756508362996,Morocco
2,2022-01-23,170.7333783528605,Morocco
3,2022-01-24,169.4936424597341,Morocco
4,2022-01-25,166.59380424851383,Morocco
5,2022-01-26,158.86419311752775,Morocco
6,2022-01-27,167.51325186727942,Morocco
7,2022-01-28,159.93232291800686,Morocco
8,2022-01-29,165.44580524594744,Morocco
9,2022-01-30,162.74231926484558,Morocco
0,2022-01-21,3755.812916062655,Qatar
1,2022-01-22,3782.126916824034,Qatar
2,2022-01-23,3713.5365739306408,Qatar
3,2022-01-24,3817.182541698754,Qatar
4,2022-01-25,3783.656684523593,Qatar
5,2022-01-26,3724.2052530528485,Qatar
6,2022-01-27,3746.1994832588744,Qatar
7,2022-01-28,3750.310658967773,Qatar
8,2022-01-29,3759.9647365500764,Qatar
9,2022-01-30,3755.8763560847706,Qatar
0,2022-01-21,24400.80932728028,Switzerland
1,2022-01-22,23739.923051004742,Switzerland
2,2022-01-23,23768.35428656145,Switzerland
3,2022-01-24,22992.625074076484,Switzerland
4,2022-01-25,22980.20763153639,Switzerland
5,2022-01-26,21739.00349881692,Switzerland
6,2022-01-27,21959.58974431313,Switzerland
7,2022-01-28,20885.77228542697,Switzerland
8,2022-01-29,21079.186778019946,Switzerland
9,2022-01-30,20832.880593395275,Switzerland
0,2022-01-21,145924.2432519003,Germany
1,2022-01-22,139429.86651193994,Germany
2,2022-01-23,141766.36197953447,Germany
3,2022-01-24,138513.53989518143,Germany
4,2022-01-25,140052.03164158584,Germany
5,2022-01-26,133703.09359714057,Germany
6,2022-01-27,135269.60072593848,Germany
7,2022-01-28,130442.28285130096,Germany
8,2022-01-29,134177.58985957928,Germany
9,2022-01-30,132970.40675564532,Germany
0,2022-01-21,359374.7684461474,France
1,2022-01-22,355008.2477645315,France
2,2022-01-23,350681.8336777166,France
3,2022-01-24,350013.4458851931,France
4,2022-01-25,347806.228247724,France
5,2022-01-26,341527.8519992545,France
6,2022-01-27,351121.88577591657,France
7,2022-01-28,339543.4727580368,France
8,2022-01-29,344499.04447609826,France
9,2022-01-30,341691.38544600183,France
0,2022-01-21,80777.49504144324,United Kingdom of Great Britain and Northern Ireland (the)
1,2022-01-22,77317.72422886184,United Kingdom of Great Britain and Northern Ireland (the)
2,2022-01-23,78755.23743485866,United Kingdom of Great Britain and Northern Ireland (the)
3,2022-01-24,76463.11478304995,United Kingdom of Great Britain and Northern Ireland (the)
4,2022-01-25,75358.59173759735,United Kingdom of Great Britain and Northern Ireland (the)
5,2022-01-26,69527.4105093434,United Kingdom of Great Britain and Northern Ireland (the)
6,2022-01-27,70766.79307258732,United Kingdom of Great Britain and Northern Ireland (the)
7,2022-01-28,66117.01781774768,United Kingdom of Great Britain and Northern Ireland (the)
8,2022-01-29,67441.52237004296,United Kingdom of Great Britain and Northern Ireland (the)
9,2022-01-30,67438.37168491365,United Kingdom of Great Britain and Northern Ireland (the)
0,2022-01-21,4467.586517579393,Croatia
1,2022-01-22,4371.518070728368,Croatia
2,2022-01-23,4461.8424756308195,Croatia
3,2022-01-24,4445.851994356315,Croatia
4,2022-01-25,4470.06480156356,Croatia
5,2022-01-26,4441.323837062206,Croatia
6,2022-01-27,4465.3656360900095,Croatia
7,2022-01-28,4550.856836864897,Croatia
8,2022-01-29,4522.689305233258,Croatia
9,2022-01-30,4428.161114663226,Croatia
0,2022-01-21,34762.447109030705,Philippines (the)
1,2022-01-22,35013.06570704659,Philippines (the)
2,2022-01-23,34414.183208529605,Philippines (the)
3,2022-01-24,35414.21862837333,Philippines (the)
4,2022-01-25,35111.55425316442,Philippines (the)
5,2022-01-26,34600.240421284616,Philippines (the)
6,2022-01-27,34822.03427400959,Philippines (the)
7,2022-01-28,34952.294983958134,Philippines (the)
8,2022-01-29,35023.713698641084,Philippines (the)
9,2022-01-30,34944.092062604934,Philippines (the)
0,2022-01-21,5402.438104458077,Ukraine
1,2022-01-22,5382.176377254287,Ukraine
2,2022-01-23,5506.452482803495,Ukraine
3,2022-01-24,5932.324432158894,Ukraine
4,2022-01-25,5526.147569946216,Ukraine
5,2022-01-26,5360.406267772068,Ukraine
6,2022-01-27,6082.689045793825,Ukraine
7,2022-01-28,5942.585369137433,Ukraine
8,2022-01-29,6053.543740495834,Ukraine
9,2022-01-30,5937.919458528461,Ukraine
0,2022-01-21,412209.67793718027,United States of America (the)
1,2022-01-22,397654.36559300264,United States of America (the)
2,2022-01-23,391890.32488344825,United States of America (the)
3,2022-01-24,387014.9483019499,United States of America (the)
4,2022-01-25,389778.3920396811,United States of America (the)
5,2022-01-26,333919.671573214,United States of America (the)
6,2022-01-27,334569.39684809005,United States of America (the)
7,2022-01-28,296702.69314778637,United States of America (the)
8,2022-01-29,292740.6818675174,United States of America (the)
9,2022-01-30,299068.1934744737,United States of America (the)
0,2022-01-21,925.8519212486844,Egypt
1,2022-01-22,932.5105235836041,Egypt
2,2022-01-23,928.6230051049608,Egypt
3,2022-01-24,955.2149494585071,Egypt
4,2022-01-25,951.1227243769783,Egypt
5,2022-01-26,959.2437073665099,Egypt
6,2022-01-27,960.026752413485,Egypt
7,2022-01-28,981.141039524719,Egypt
8,2022-01-29,973.795714878274,Egypt
9,2022-01-30,967.1752508659202,Egypt
0,2022-01-21,33842.692694229765,Netherlands (the)
1,2022-01-22,31687.342505471905,Netherlands (the)
2,2022-01-23,33063.06838181821,Netherlands (the)
3,2022-01-24,32074.163161875003,Netherlands (the)
4,2022-01-25,31701.243497297266,Netherlands (the)
5,2022-01-26,30273.19983835445,Netherlands (the)
6,2022-01-27,30663.668448209133,Netherlands (the)
7,2022-01-28,29360.346159796503,Netherlands (the)
8,2022-01-29,30318.21931996785,Netherlands (the)
9,2022-01-30,30236.001638688533,Netherlands (the)
0,2022-01-21,2408.435277466764,South Africa
1,2022-01-22,2423.300067945036,South Africa
2,2022-01-23,2370.833856191676,South Africa
3,2022-01-24,2427.6825210022034,South Africa
4,2022-01-25,2403.613264915801,South Africa
5,2022-01-26,2360.7981964250716,South Africa
6,2022-01-27,2380.024719547341,South Africa
7,2022-01-28,2356.6486894377977,South Africa
8,2022-01-29,2366.396326597229,South Africa
9,2022-01-30,2366.2348645675606,South Africa
0,2022-01-21,174238.96076466746,Italy
1,2022-01-22,176291.3964408316,Italy
2,2022-01-23,170768.72096594903,Italy
3,2022-01-24,176288.77229114177,Italy
4,2022-01-25,174963.8859320395,Italy
5,2022-01-26,167953.85254905015,Italy
6,2022-01-27,170530.11855641307,Italy
7,2022-01-28,167001.22932051975,Italy
8,2022-01-29,164946.29908479168,Italy
9,2022-01-30,164796.82059303488,Italy
0,2022-01-21,689.1815644494668,Singapore
1,2022-01-22,613.1235729547495,Singapore
2,2022-01-23,692.0206741929296,Singapore
3,2022-01-24,712.7885311581546,Singapore
4,2022-01-25,671.1348225805813,Singapore
5,2022-01-26,705.6336078418682,Singapore
6,2022-01-27,690.6833365711939,Singapore
7,2022-01-28,733.0792461466414,Singapore
8,2022-01-29,699.2930521280416,Singapore
9,2022-01-30,710.816335671439,Singapore
0,2022-01-21,8548.57571442509,Bangladesh
1,2022-01-22,8232.70190933075,Bangladesh
2,2022-01-23,8304.898651695888,Bangladesh
3,2022-01-24,8088.697906606588,Bangladesh
4,2022-01-25,8193.475811277603,Bangladesh
5,2022-01-26,7672.375017277651,Bangladesh
6,2022-01-27,7765.4977397257235,Bangladesh
7,2022-01-28,7385.947507179905,Bangladesh
8,2022-01-29,7625.170488270816,Bangladesh
9,2022-01-30,7541.364357491898,Bangladesh
0,2022-01-21,-2313.936146741217,Hong Kong
1,2022-01-22,-1317.7714707542425,Hong Kong
2,2022-01-23,-1404.5356353424872,Hong Kong
3,2022-01-24,1191.2637533441991,Hong Kong
